City;Population
Москва;11514300
Санкт-Петербург;4848700
Новосибирск;1473700
Екатеринбург;1350100
Нижний Новгород;1250600
Самара;1164900
Омск;1154000
Казань;1143600
Челябинск;1130300
Ростов-на-Дону;1089900
Уфа;1062300
Волгоград;1021200
Пермь;991500
Красноярск;973900
Воронеж;890000
Саратов;837800
Краснодар;744900
Тольятти;719500
Ижевск;628100
Ульяновск;613800
Барнаул;612100
Владивосток;592100
Ярославль;591500
Иркутск;587200
Тюмень;581800
Махачкала;578000
Хабаровск;577700
Новокузнецк;547900
Оренбург;547000
Кемерово;532900
Рязань;525100
Томск;522900
Астрахань;520700
Пенза;517100
Набережные Челны;513200
Липецк ;508100
Тула;501100
Киров;473700
Чебоксары;453600
Калининград;431500
Брянск;415600
Курск;414600
Иваново;409300
Магнитогорск;408400
Улан-Удэ;404400
Тверь;403700
Ставрополь;398300
Нижний Тагил;361900
Белгород;356400
Архангельск;348700
Владимир;345600
Сочи;343300
Курган;333600
Смоленск;326900
Калуга;325200
Чита;323900
Орел;317900
Волжский;314400
Череповец;312300
Владикавказ;311600
Мурманск;307700
Сургут;306700
Вологда;301600
Саранск;297400
Тамбов;280500
Стерлитамак;273400
Грозный;271600
Якутск;269500
Кострома;268600
Комсомольск-на-Амуре;263900
Петрозаводск;263500
Таганрог;257700
Нижневартовск;251900
Йошкар-Ола;248700
Братск;246300
Новороссийск;241800
Дзержинск;240800
Шахты;240100
Нальчик;240100
Орск;239800
Сыктывкар;235000
Нижнекамск;234100
Ангарск;233700
Старый Оскол;221100
Великий Новгород;218700
Балашиха;215300
Благовещенск;214400
Прокопьевск;210200
Бийск;210000
Химки;207100
Псков;203300
Энгельс ;202400
Рыбинск;200800
Балаково;199600
Северодвинск;192300
Армавир;188900
Подольск;188000
Королев;183500
Южно-Сахалинск;181700
Петропавловск-Камчатский;179500
Сызрань;178800
Норильск;175300
Златоуст;175000
Каменск-Уральский;174700
Мытищи;173300
Люберцы;172000
Волгодонск;170600
Новочеркасск;169000
Абакан;165200
Находка;159700
Уссурийск;158000
Березники;156500
Салават;156100
Электросталь;155300
Миасс;151800
Рубцовск;147000
Альметьевск;146300
Ковров;145500
Коломна;144600
Майкоп;144200
Пятигорск;142400
Одинцово;139000
Копейск;137600
Черкесск;121400
Хасавюрт;133900
Железнодорожный;131700
Новомосковск;131200
Кисловодск;128500
Серпухов;126500
Первоуральск;124500
Новочебоксарск;124100
Нефтеюганск;123300
Димитровград;122500
Нефтекамск;121800
Орехово-Зуево;120600
Дербент;120000
Камышин;119900
Невинномысск;118400
Красногорск;116700
Муром;116100
Батайск;111800
Новошахтинск;111100
Сергиев Посад;110900
Ноябрьск;110600
Щелково;110400
Кызыл;109900
Октябрьский;109400
Ачинск;109200
Северск;108500
Новокуйбышевск;108400
Елец;108400
Арзамас;106300
Обнинск;104800
Новый Уренгой;104100
Каспийск;103900
Элиста;103700
Пушкино;102800
Жуковский;102700
Артем;102600
Междуреченск;102000
Ленинск-Кузнецкий;101700
Сарапул;101400
Ессентуки ;101000
Воткинск;100000
